transaction_id,date,property_id,seller_id,buyer_id,price,notary
72,2025-07-12,1660,212,108,11328549,Тихонов Адриан Фёдорович
73,2023-05-13,1896,119,242,14084766,Евфросиния Даниловна Авдеева
74,2026-05-18,209,164,23,9177654,Лыткина Любовь Аскольдовна
75,2024-09-29,1443,55,65,27429705,Онуфрий Эдгарович Котов
76,2021-06-28,241,206,3,1762840,Лукия Матвеевна Лебедева
77,2025-11-22,1059,188,141,5075960,Кулагина Александра Львовна
78,2021-10-31,1352,129,109,9719807,Зайцева Таисия Даниловна
79,2021-10-13,852,82,207,22879531,Януарий Гаврилович Денисов
80,2021-10-28,1931,9,266,15050486,Капустина Прасковья Антоновна
81,2024-05-29,1481,242,231,20264998,Маргарита Оскаровна Гущина
82,2023-12-05,1111,206,235,1050330,Бажен Ермилович Носов
83,2021-12-28,1082,147,55,15853705,Иванна Даниловна Аксенова
84,2021-12-23,994,300,222,20103910,Мокей Авдеевич Игнатов
85,2022-12-13,975,231,44,28896422,Ситникова Фаина Юрьевна
86,2021-10-11,1893,82,227,3252653,Вадим Валерианович Фадеев
87,2025-09-17,404,181,14,25958335,Самсонов Леонид Глебович
88,2024-12-06,122,164,270,9247974,тов. Костин Агафон Данилович
89,2022-07-23,465,295,53,11798527,Анна Петровна Зуева
90,2023-10-17,415,84,247,28325659,Пестова Анна Васильевна
91,2025-06-26,535,73,216,15000048,Мариан Марсович Лебедев
92,2021-10-06,689,254,167,501728,Семен Игоревич Носков
93,2023-02-10,210,125,40,18714001,Орлова Лора Петровна
94,2024-06-07,1271,21,260,14672636,Харитонова Василиса Вячеславовна
95,2024-02-28,1074,40,51,13396962,Беляков Иосиф Тимурович
96,2021-09-21,1342,155,150,9249635,Фаина Аркадьевна Соболева
97,2025-01-10,657,121,105,10032364,тов. Зуев Мирослав Тихонович
98,2025-06-07,1215,34,190,20991566,Евфросиния Леонидовна Фокина
99,2022-01-21,42,234,296,17851765,Зинаида Захаровна Нестерова
100,2025-08-14,630,63,10,9836146,Эммануил Венедиктович Чернов
101,2021-06-05,548,211,9,22166533,Романова Анастасия Робертовна
102,2026-01-22,1407,243,210,14207941,Шарапов Александр Глебович
103,2025-08-10,1034,298,249,12014394,Гордеева Агата Вадимовна
104,2021-06-11,1508,35,24,5053820,Гаврила Абрамович Овчинников
105,2022-09-17,1400,282,92,27189355,Зоя Болеславовна Авдеева
106,2024-11-11,1723,46,37,16325238,Зимин Юрий Адрианович
107,2026-04-29,637,200,170,27395128,Селиван Ильич Андреев
108,2024-10-28,1120,42,65,10588566,Феоктист Аверьянович Чернов
109,2024-10-15,980,250,67,11587673,Карл Анисимович Матвеев
110,2023-04-27,74,63,125,18583063,Ия Ниловна Терентьева
111,2022-01-20,369,157,253,14855678,Вячеслав Валерьянович Пахомов
112,2022-11-08,1505,43,194,29844839,Нинель Владимировна Горбунова
113,2022-04-23,1781,288,264,26994093,Федотов Андрей Власович
114,2024-08-30,282,282,211,26021203,Якушев Дмитрий Ефимьевич
115,2024-12-03,1818,146,266,22203846,Максимильян Викторович Лихачев
116,2022-03-11,75,260,295,8703850,Сафонова Лариса Натановна
117,2026-01-07,1321,289,287,29631031,Власова Зоя Яковлевна
118,2026-04-26,773,191,199,7072049,Евдокия Харитоновна Савельева
119,2023-10-02,1405,207,264,12270692,Эрнст Арсенович Лукин
120,2021-10-12,1847,278,10,24662224,Потапов Куприян Феоктистович
121,2024-11-28,612,183,12,26329547,Кабанов Лазарь Ефимьевич
122,2023-08-03,1553,203,73,15239621,Терентьев Захар Феоктистович
123,2023-05-23,1578,270,171,3320557,Анатолий Ануфриевич Копылов
124,2024-03-21,379,177,1,25970901,Захар Фролович Елисеев
125,2024-01-08,1018,80,259,29345214,Ермолай Бориславович Лобанов
126,2023-04-09,892,220,76,29632856,Королева Ульяна Архиповна
127,2021-07-12,1145,98,237,12253384,Тетерин Христофор Владленович
128,2025-07-24,1300,200,245,2136538,Евсеева Лукия Валериевна
129,2023-02-21,378,194,200,11490683,Богдан Жоресович Виноградов
130,2022-10-11,856,219,76,2231593,Авдеев Парфен Эдгардович
131,2024-11-05,703,240,217,7735407,Бирюкова Регина Юльевна
132,2024-11-23,8,43,157,23317108,Лебедев Наркис Федотович
133,2024-02-12,1003,26,110,21601309,Ефремова Нонна Сергеевна
134,2022-10-12,1729,274,133,14021306,Титова Маргарита Николаевна
135,2024-06-26,366,177,195,25572154,Симонова Ульяна Даниловна
136,2026-02-25,146,280,120,4021591,Зоя Аскольдовна Исаева
137,2023-12-22,1575,189,37,23124586,Исаева Лукия Архиповна
138,2023-05-25,1664,266,101,7960838,Таисия Ниловна Григорьева
139,2025-11-25,371,229,226,23304515,Евпраксия Ждановна Мельникова
140,2024-09-25,1751,258,46,16498007,Лебедева Регина Васильевна
141,2023-08-10,1790,245,230,7876634,Тарас Тимурович Соловьев
142,2022-08-03,86,125,230,10615089,Маслова Лора Дмитриевна
143,2022-12-23,549,48,184,15968059,Рогова Елена Анатольевна
144,2024-05-07,701,214,221,6306907,Медведева Акулина Романовна
145,2021-07-23,1259,116,70,13523286,Эмиль Бориславович Орехов
146,2021-10-11,1742,211,201,15414817,Светлана Святославовна Михеева
147,2025-01-11,131,31,22,17593978,Анжела Матвеевна Семенова
148,2025-10-20,1521,123,255,9390787,Кабанова Елена Егоровна
149,2023-10-11,875,137,193,21078118,Анжела Вячеславовна Кошелева
150,2025-11-27,522,123,148,22312502,Юдин Ипатий Изотович
